,comments
130,ดีๆที่แบ่งประสบการณ์ เป็นเหมือนเส้นผมบังภูเขาเลยครับ
131,"ขอเพิ่มเติมนะครับ


อาการไอ ที่เกิดขึ้นเป็นแค่ อาการข้างเคียง ไม่ใช่อาการแพ้ยา
อาการแพ้ยา โดยทั่วๆไปจะผื่นคัน เป็นมากหลอดลมอักเสบ บวม หายใจไม่ออก อาจจะรุนแรงถึงขั้นเสียชีวิต


อาการข้างเคียงจากยา (Side effect)
คือ ผลหรืออาการใดๆ ที่ไม่ได้จงใจให้เกิดขึ้นจากการยา แม้จะใช้ตามขนาดปกติ และสัมพันธ์กับคุณสมบัติทางเภสัชวิทยาของยา(ฤทธิ์ของยา พูดง่ายๆคือ สามารถเดาได้ว่า ถ้ากินยานี้ไปจะเกิดอาการข้างเคียงอะไรบ้างกับผู้ป่วย) สามารถบอกได้คร่าวๆ เช่น กินแก้แพ้มักจะเกิดอาการง่วงซึม กินแก้ปวดมักจะกัดกระเพาะ รวมไปถึง enarapril ทำให้เกิดการไอ ซึ่งอาการแสดงจะเกิดได้น้อยหรือมาก ขึ้นกับชนิดของยา และร่างกายเฉพาะบุคคลที่สามารถทนต่อฤทธิยานั้นๆ

การแพ้ยา (Drug allergy)
เป็นปฏิกิริยาที่เกิดจากภูมิคุ้มกันของร่างกายต่อต้านยาที่ได้รับเข้าไป ไม่สามารถคาดการณ์ล่วงหน้าได้ว่าผู้ใดจะแพ้ยาตัวไหน ดังนั้น ไม่ว่าแพทย์ หรือเภสัชกรก็ไม่สามรถบอกได้ (การไปหาหมอ การไปซื้อยากับเภสัชกร แล้วเกิดอาการแพ้ยา ไม่สามารถฟ้องร้องประเด็นนี้ได้ ) ลักษณะอาการแพ้ยา เช่น หลังทานยาแล้วมีผื่นคัน เปลือกตาบวม ริมฝีปากบวม มีแผลบริเวณเยื่ออ่อน ผิวหนังไหม้ เป็นต้น เมื่อมีอาการที่สงสัยว่าแพ้ ควรปรึกษาแพทย์/เภสัชกร เพื่อป้องกันการแพ้ยาซ้ำ เพราะถ้าเกิดการแพ้ซ้ำอาการแพ้อาจรุนแรงขึ้นจนบางครั้งเป็นอันตรายถึงชีวิตได้(ตรงนี้แหละที่ผุ้บริโภคสามารถเอาผิดได้ถ้าผู้ให้บริการไม่ละเอียดพอ แต่ถ้าแพทยืหรือเภสัชกรถามว่าแพ้อะไร แต่ตอบว่าจำไมได้หรือไม่ได้แพ้เป็นความผิดของผู้รับบริการเอง) ดังนั้นถ้าแพ้ควรมีการจดบันทึกชื่อยาไว้ แจ้งแพทย์และเภสัชกรทุกครั้งว่าท่านแพ้ยาชื่ออะไร หรือให้เภสัชกรทำการประเมินการแพ้ยาและออกบัตรแพ้ยาสีฟ้าให้ที่โรงพยาบาล
แก้ไขข้อความเมื่อ 20 ธันวาคม 2561 เวลา 09:08 น."
132,"เผื่อเป็นข้อมูลนะคะ
อีนาลาพริล (Enalapril) นอกจากฤทธิ์ที่มีผลลดความดันแล้ว ตัวยายังลดการทำลาย สารชื่อว่า bradykinin ทำให้เกิดการสะสม ซึ่ง bradykinin ตัวนี้เองที่ไปกระตุ้นการไอที่หลอดลม ดังนั้นการรักษาการไอด้วยยาแก้ไอทั่วไปจึงไม่ได้ผล การรักษาคือต้องเปลี่ยนยาเป็นกลุ่มใหม่ที่ไม่มีผลต่อ bradykinin ค่ะ
กรณีนี้ถ้า จขกท. ทราบแต่แรกว่าอาจเกิดจากยาความดันอาจรักษาได้เร็วกว่านี้
ปกติในเคสที่เริ่มใช้ยา enalapril เราจะแนะนำคนไข้ว่า หากพบการไอแห้งโดยไม่มีสาเหตุอาจเกิดจากยาตัวนี้ได้ ใครที่ใช้ยาอยู่ไม่ต้องกังวลไปนะคะ อาการนี้ไม่ใช่การแพ้ยา แต่เป็นอาการข้างเคียงที่ไม่รุนแรงที่อาจเกิดได้อยู่แล้วเมื่อหยุดยาแล้วก็จะดีขึ้น บางคนเกิดบางคนก็ไม่เกิดค่ะ และเนื่องจากยาให้ผลในการลดความดันได้ดี และตัวยาเองมีฤทธิ์ renoprotective คือช่วยชะลอความเสื่อมของไตได้  แนะนำว่าหากมีอาการไอมีเล็กน้อย สามารถลองใช้ยาต่อได้ แต่หากมีอาการรุนแรงและส่งผลกระทบต่อชีวิตประจำวันให้กลับมาพบแพทย์เพื่อพิจารณาปรับเปลี่ยนยาค่ะ
แก้ไขข้อความเมื่อ 20 ธันวาคม 2561 เวลา 09:12 น."
133,ตอนนั้นยายเราก้เคยเจออาการแบบนี้ค่ะ ตอนนั้นความดันแกขึ้นสูง หมอเลยเปลี่ยนยามาให้ แล้วแกก้ไอ ไอตลอดเวลา ติดต่อกันหายสัปดาห์  ด้วยความที่แกก้อายุมากแล้ว70 กว่า เราสงสารมากมาหาข้อมูลตากในพันทิปถึงทราบ ว่าเป็นเพราะยาความดัน พอกหมอเปลี่ยนให้ ยายก้หายไอทันทีเลยค่ะ
134,"ยาความดันโลหิตสูง ตัวนึงผมจำชื่อไม่ได้ กินต่อเนื่องแล้วมีอาการข้างเคียงคือไอแห้ง

ผมไอ้แห้งจนสงสัยเองว่าจะเป็นมะเร็งที่คอละเปล่า

หมอที่รักษาผมถามผมเองเลยว่ามีอาการไอแห้งละเปล่า ผมบอกเริ่มมี หมอก็เปลี่ยนยาให้

ดังนั้น แพ้ยา หรือ ผลข้างเคียงของยา ลองพิจารณาดูนะครับ ถ้ากรณีของคุณเป็นผลข้างเคียงของยา ผมว่าเปลี่ยนหมอที่รักษาความดันดีกว่า
แก้ไขข้อความเมื่อ 20 ธันวาคม 2561 เวลา 09:54 น."
135,ผมไอมาเดือนกว่าแล้วครับ ตอนนี้ ก็ยังไม่หาย ไปหาหมอมา3คนแล้วละ หมอบอกเป็นหลอดลมอักเสบ และผมกินยาละลายลิ่มเลือด(วาร์ฟารีน) ด้วยเลยหายฃ้า ตอนนี้ กลางวันไม่ค่อยจะไปเท่าไร ถ้าไม่มีสิ่งเร้าเช่น ฝุ่นหรือกลิ่นฉุนอะไร แต่ถ้ากลางคืน จะไอบ่อยๆ พออมยาอมก็จะหายไอพอหลับได้บ้างนะครับ
136,"มีเพื่อนพนักงานในออฟฟิตคนนึงความดันสูง
ตอนหมอจะจ่ายยาให้หมอให้เลือกยา
1. กินแล้วไอ
2. กินแล้วจู๋ไม่แข็ง
ลองทายซิ เพื่อนผมคนนี้เลือกตัวไหน?"
137,"อาการแบบนี้ กว่าจะหาสาเหตุที่แท้จริงได้ ต้องใช้เวลาจริงๆค่ะ

เราเป็นภูมิแพ้ระบบทางเดินหายใจ อยู่แล้ว เป็นไซนัสอักเสบบ่อยๆ พอไอมีเสมหะมาก ก็ไปหาหมอ หู คอ จมูก สิคะ ไปหาอยู่หลายครั้งหลายหน จนสุดท้ายคุณหมอหู คอ จมูก ก็สันนิษาฐานว่า อาจเกิดจากกรดไหลย้อน ก็ให้ยา รักษาตามแนวทาวของโรงนี้ แล้วก็หายจริงๆ

หลายปีผ่านไป อาการไอ มีเสมหะ ก็กลับมาอีก เราก็คิดว่า น่าจะเป็นกรดไหลย้อนอีกล่ะมั้ง ก็เลยร้กษาตัวเหมือนที่เคย แต่หนนี้ไม่หาย ก็เวียนไปหาคุณหมอที่ รพ. เดียวกับกับ จขกท เลยค่ะ ตั้งแต่เดือนกันยา จนมาเดิอนกุมภา ถึงได้บทสรุปว่า หลอดลมอักเสบ และเป็นโรคหอบหืด กว่าจะเจอการวินิจฉัยที่ถูกต้อง เล่นเอาเหนื่อย

ตอนนี้ก็เลยดูแลตัวเองเผื่อทั้งกรดไหลย้อน ภูมิแพ้ หอบหืด ไปพร้อมๆกันทีเดียวเลย"
138,"แต่ก่อนผมเป็นทุกปีเลย ไอเรื้อรัง ไอร้อยวัน ไอหนักมากๆ โดยเฉพาะตอนกลางคืน
หาหมอที่ไหนก็ไม่หาย แต่ซักสามเดือนผ่านไปมันจะหายไปเองครับ

มีอยู่ปีนึง ไอหนักทั้งกลางวันกลางคืน ตอนนั้นไปส่งเพื่อนที่สนามบินดอนเมือง ไอหนักจนต้องไปหาหมอที่สนามบิน
หมอบอกว่า เป็นภูมิแพ้หลอดลมอักเสบ เลยได้ยาแก้อักเสบมาทานต่อเนื่อง แล้วก็หายจริงๆ ครับ"
139,ลองฟ้าทลายโจรแคปซูลดูมั้ยคะ ลูกเราเคยไม่สบายพอรักษาจนดีขึ้นแต่ไอทั้งกินยา ฉีดยา ทั้งพ่นคามิโลซาน ก็ไม่หายไอสักที เราบังเอิญไปเจอเลยลองซื้อมาให้เค้ากินหายไอเลยค่ะ ตั้งแต่นั้นพอเห็นใครไอเราก็แนะนำให้ทานฟ้าทลายโจรตลอดเลยค่ะ แต่ไม่แน่ใจว่าคนที่เป็นเบาหวานความดันจะมีผลข้างเคียงรึเปล่านะคะ ลองปรึกษาหมอดูค่ะ
140,"ขอบคุณครับ
ผมเคยตั้งกระทู้เรื่องไอต่อเนื่องเหมือนกัน
เป็นทุกปี ปีละครั้งถึงสองครั้งทรมานมากๆ"
141,"ผม ไอ 100 วัน แทบทุกปี มา 5 ปี จะเป็นตอนเข้าหน้าหนาว จะไอแห้งๆ
กินยา ทั้งหลาย แก้ไอ นี่นัน่น ก็ไม่หาย ตอนไปหาหมอ ก็พบว่าเรามีเสมหะ แล้วเสมหะมันลงคอคอเลยระคาย กินยาหมอ แล้วหมอนัดต่อเนื่อง ประมาณ 1 เดือนหาย (ตอนก่อนนั้นเคยกินสัก อาทิตย์กว่าไม่หายก็เลิกกินยา แล้วไม่ไปหาหมอ สุดท้ายถึงรู้ว่ามันต้องค่อยๆใช้เวลารักษาหวัด เสมหะ ไม่ใช่แค่ 1 อาทิตย์)

หลังๆเริ่มออกกำลัง ก็ไม่เป็นแล้ว รักษาตัวพยายามอย่าเป็นหวัด ก็ายครับ
แก้ไขข้อความเมื่อ 24 ธันวาคม 2561 เวลา 10:39 น."
142,ยายอายุ 84 ปี แล้วกำลังไออยู่เลยค่ะ ไอมาหลายเดือนแล้ว ไม่ได้นอนเลยเมื่อคืน ยายเป็นความดันโลหิตสูงอยู่ค่ะ แต่ยาที่ยายกินชื่อ ยา Hydralazine อ่านผลข้างเคียงแล้วไม่มีอาการไอ  (มีแต่ผลข้างเคียงคือ เจ็บหน้าอก  อาการบวม ใจสั่น  หัวใจเต้นเร็ว ท้องเสีย ไม่อยากอาหาร คลื่นไส้ อาเจียน ปวดศีรษะ)  อาการที่เป็นคือ จะไอ หัวใจเต็นเร็ว หรือเต้นผิดจังหวะ เรื่องไอไม่รู้จะรักษายังงัยดีค่ะ หาหลายหมอแล้วให้ยามากินก็ไม่หายสักที่  พรุ่งนี้หมอนัดไม่แน่ใจว่าจะขอหมอเปลี่ยนยาดีไหม
143,"...
แก้ไขข้อความเมื่อ 20 ธันวาคม 2561 เวลา 15:37 น."
144,"เมื่อก่อนผมนอนน้อย ปีๆนึงจะเป็นหวัด 2-3ครั้ง หายแล้วก็จะไออยู่นานเป็นเดือนๆ บางทีจนอาเจียนก็มี รำคาญและทรมานมาก
มาปีหลังๆ3-4ปีมานี้ เริ่มหาเวลาออกกำลังกาย  ร่างกายแข็งแรงขึ้น ไม่ค่อยป่วย หายไอไปเลย กีฬาเป็นยาวิเศษจริงครับ

ดีใจกับคุณจขกท ด้วยนะครับ"
145,ผมเคยสะอึกไม่หยุดครับ สะอึกอยู่นานต่อเนื่องร่วมหลายชั่วโมง มีซาๆไปจนหยุดสะอึกไปซักพักก็กลับมาสะอึกต่อ สะอึกเรื่อยๆเกือบทั้งวันจนเหนื่อยมาก ช่วงนั้นผมเข้าผ่าตัดกระดูกขากรรไกรที่มหิดล เวชศาสตร์เขตร้อน หลังจากผ่าตัดเสร็จผมต้องนอนอยู่ที่นั่นต่อเพื่อรอดูอาการ ก็มีการสะอึกไม่หยุดพยายามที่จะใช้หลายวิธีทั้งกลั้นหายใจ และดื่มน้ำ แต่ทำอย่างไรก็ไม่หาย จนคุณหมอพา น.ศ. แพทย์มาดูเคสของผม ผมก็เลยขอคุณหมอว่าไม่ให้ยาผมได้ไหม หากมีอาการอักเสบอะไรผมก็จะพยายามทนเอาจนกว่าแผลจะแห้งหายไปเอง เพราะสะอึกจนเหนื่อยทนไม่ไหวแล้ว นอนก็นอนแทบไม่ได้เพราะมันรบกวนมาก(สะอึกทั้งวันทั้งคืน) พอเพลียหนักๆก็หลับไปบ้างนะครับ พอตื่นมาก็สะอึกต่อ คือช่วงหลังผ่าตัดคุณหมอจะต้องมียาต่างๆให้ก็คงจะแก้ปวดแก้อักเสบติดเชื้ออะไรต่างๆ ซึ่งก็ไม่รู้ว่าตัวยาอะไรบ้าง แต่ตัวผมน่ะสงสัยว่าเป็นที่ตัวยานี่แหละที่ทำให้ผมสะอึกไม่หยุด แต่ในระหว่างนั้นคุณหมอก็ยังไม่ค่อยเชื่อผมนัก ก็เลยให้ผมพยายามแก้อาการสะอึกเองไปก่อน แต่รับปากผมว่าจะดูให้ ซึ่งก็ยังไม่มีวีแววว่าคุณหมอจะสั่งหยุดยาให้เพราะคงมีความจำเป็นต้องให้ยาจริงๆนั่นแหละ ทีนี้มีอยู่จังหวะนึงตอนที่ผมลงมาล้างแผลหรืออะไรซักอย่างที่ชั้นล่าง คุณหมอก็มีเปรยๆขึ้นมา และพอดีมีอาจารย์หมออีกท่านนึงอยู่เวรเวลานั้นพอดีกำลังทำเคสให้คนไข้อยู่ คุณหมอท่านนี้ได้ยินก็เลยทักคุณหมอของผมว่าสะอึกไม่หยุดเหรอครับ ให้ยาตัวนี้อยู่หรือเปล่า คุณหมอของผมท่านก็ว่าใช่ คุณหมออีกท่านก็เลยบอกว่าเคยมีคนไข้มีอาการแบบนี้คนนึง คือสะอึกไม่หยุดเหมือนกัน ให้ลองเปลี่ยนยาเป็นอีกตัว ซึ่งตอนแรกคุณหมอของผมท่านก็เหมือนจะไม่ค่อยเชื่อครับ เพราะท่านคงเคยให้ยาคนไข้มาเยอะแล้วไม่เห็นมีใครเป็นอะไร แต่ปรากฏว่าผมหายสะอึกเลยครับตั้งแต่เปลี่ยนตัวยา โชคดีจริงๆที่อาจารย์ท่านนั้นอยู่ตรงนั้นพอดี เพราะอาจารย์หมอของผมท่านไม่รู้เคสนี้จริงๆ ซึ่งผมก็ไม่ได้ว่าอะไรท่านนะครับ เพราะยาแต่ละตัวกับคนแต่ละคนมันแพ้ไม่เหมือนกัน บางคนแพ้บางคนไม่แพ้ครับ ฝากไว้เป็นกรณีศึกษาขอให้โชคดีทุกท่านครับ
146,"ไม่ได้อ่านเม้นต่างๆนะครับ
ตอนไปหาหมอ เค้าไม่ถามโรคที่เป็น
ใช้ยาอะไรเหรอครับ
ยาตัวนี้มีผลข้างเคียงคือการไอ ตอนรับยา
เภสัชได้อธิบายไหมครับ"
147,เคยไอเพราะยา Enalapril เหมือนกัน ของผมยังดีแค่ 1 สัปดาห์ แล้วมีอาการหน้าบวมกับปากบวมด้วย เลยไปหาหมอเปลี่ยนยาให้ใหม่เป็น amlodipine แต่กินแล้วความดันยังไม่ค่อยลง เลยเปลี่ยนมากินยา azilsartan ยี่ห้อ Edarbi แทนครับ
148,ดีใจด้วยที่หาสาเหตุเจอและหายจากอาการนะคะ เพื่อนก็เป็นอยู่อาการไอว่าจะเอากระทู้ไปให้อ่าน เผื่อเจอส่เหตุเดียวกันค่ะ
149,เห็นประโยชน์ของการมีเภสัชกรประจำร้านไว้ปรึกษามั้ยคะ แฮร่ ^^
150,"แม่ผมเคยเป็น ยาตัวเดียวกันเลย

เปลี่ยนยาปุ๊บ หายสนิทเลย แต่กินแรกๆ ไม่เป็นนะครับ

ดีใจด้วยครับที่หาสาเหตุเจอ"
151,ผมไอทุกปีช่วงฝนถึงหนาวหลายเดือนเลยครับแต่ผมเป็นภูมิแพ้ และช่วงไหนไม่ออกกำลังกายจะเป็นครับ ปีไหนทำงานไม่ไอเลย ทรมาณมากนะไอทีหลายเดือน และเวลาเล่นเกมก็ไอครัยเมือนเราตั้งใจมากที่เค้าเรียกหืดขึ้นคอน่ะครับ เข้าใจจขกทเลย
152,"นี่ก็ไอมาเป็นๆหายๆเกือบจะปีละค่ะ
อาการแบบเหมือนมีเสมหะติดอยู่ที่คอตลอดเวลา ระคายคอ
สังเกตเสาร์อาทิตย์ิอาการจะดีขึ้นถ้าอยู่ห้องไม่ไปไหน
แต่พอวันจันทร์เริ่มไปทำงานอาการจะมาทันทีทไปหาหมอบอกแค่ว่าเป็นภูมิแพ้ ให้ยามาแก้แพ้และละลายเสมหะ
คือเป็นจนขี้เกียจจะกินยาละค่ะ ทรมานมาก"
153,"รู้สึกดี


คุณลุงเภสัช ใส่ใจ





ปล แต่หยุดยาเองไม่ดีน้าาาา"
154,"ดีที่หาสาเหตุได้ค่ะ

แต่งงนิดนึง ปกติถ้ามีคนไอเรื้อรังแล้วกิน Enalapril อยู่ เจ้านี่จะตกเป็นผู้ต้องสงสัยรายแรกเลย
บางทีใช่ไม่ใช่ไม่รู้ สงสัยไปก่อน ลองหยุดยาก่อน เพราะเจอคนเป็นเยอะมาก
แล้วในซองยาของหลายรพ.ก็จะบอกเรื่องนี้ไว้
ไม่น่าหลุดมาหลายหมอขนาดนี้

แต่ก็อาจเป็นเพราะอาการไปคล้ายกับกรดไหลย้อนด้วย เลยคิดไปผิดทาง"
155,ผมเป็นคนหนึ่งอีกไอทีนานเป็นเดือนๆอหมือนกะนครับ รู้วิธี แก้ได้ผลชัดๆหรือออกกำลังกายหนักๆครับ ปั่นจักรยาน วิ่งหนักๆ zone4แช่นานๆหน่อย ได้ผลดีมากครับลองทำดู
156,อ่านแค่หัวผมก็นึกว่าตรวจเจอเป็นวัณโรค  พออ่านจบความรู้ใหม่เลย
157,"ผมก็เป็น อาศัยการทานน้ำเยอะๆเพื่อให้คอไม่แห้งเกินไป

เรื่องยาผมไม่ค่อยอยากทานมากโดยเฉพาะเวลาใกล้ตรวจประจำปี

ยาบางตัวมีผลกับตับ เคยเจอ 2 ปีที่แล้ว ตรวจประจำปีผลออกมาค่าในตับพุ่งปรี๊ดเลย สูงกว่าปกติหลายเท่า"
158,"เราก็ไอเพราะยาความดันสูงนี่แหละคะ แต่ของเราหาสาเหตุเจอเร็วกว่าคุณ 555 เพราะเราสังเกตตัวเองว่าเริ่มไอ
เราก็เลยหาข้อมูลในเน็ตว่ายาความดันสูงทำให้ไอได้ไหม ปรากฏว่าเป็นผลข้างเคียงของยา ต้องไปหาหมอขอเปลี่ยนยาค่ะ
เราก็ไปหาหมอ ขอเปลี่ยนยาทันทีเลยค่ะ  แต่เราไม่ได้ไอหนักขนาดคุณนะคะ มันจะมาเป็นช่วง ๆ แล้วก็หายไป"
159,ตกลงต้องกินยาอะไรครับ จะได้ไปหาซื้อมาไว้บ้าง
160,"ปกติฉลากยาที่บอกวิธีการกินยาที่จ่ายให้คนไข้ ในรพเราจะมีบอกผลข้างเคียงยาให้ตลอดเลยนะคะ เจอบ่อยมากที่ไอหลังได้enalapril แต่คนไข้ก็คืออ่านที่ฉลากก็จะถือยามาขอเปลี่ยนที่ รพ เลย

ยาอีกตัวที่เจอผลข้างเคียงบ่อยคือ amlodipine ที่ทำให้ขาบวม

แต่ทั้งนี้ถ้า จขกท ไม่ได้บอกว่าตัวเองมีโรคประจำตัวอะไร หรือเอายาเดิมไปให้แพทย์ดูก็บอกยากค่ะว่าเกิดจากยา

จริงๆแพทย์ก็พลาดด้วยที่ไม่ได้ถาม"
161,"คุณแม่ผมเหมือน จขกท เป๊ะเลย
เมื่อแม่ก่อนไอหนักมาก ขนาดนอนหลับแล้วยังไอ ยาแก้ไอมะขามป้อมนี่ล้นบ้าน เป็นแบบนี้ 6-7 ปีได้
พอหยุดทานยาความดันบางตัวปุ๊ป อาการบรรเทาขึ้นเยอะ คิดว่าหยุดกินยาตัวเดียวกันเนี่ยแหละ"
162,"ขอนอกเรื่อง ไม่มีใครชมเภสัชเลยที่หาสาเหตุเจอ เราชมเองก็ได้ 555
ควรมีบุคลากรที่มีคุณภาพแบบนี้เยอะๆในสายการแพทย์นะคะ งงใจกับการวินิจฉัยของหมอจริง"
163,ดีใจที่หายนะคะ เข้าใจความทรมานเลย
164,"เราเข้าใจเลยค่ะ เรื่อง side effects ของยา
เคยกินยาจิตเวชตัวนึง ผลคือคอแห้ง ดื่มน้ำวันละสองลิตร ไอไปครึ่งปีได้ ไอจนไปขอจิตแพทย์เปลี่ยนยา
พอเปลี่ยนเป็นอีกตัว ไอน้อยลงละ แต่บวมน้ำทั้งตัวแทน

TwT

หมายเหตุ เราเป็นโรคซึมเศร้าค่ะ ตอนนี้กินยาควบคุมอยู่"
165,กินยาตัวนี้อยู่เหมือนกันคับ และไอบ่อยมากเช้าเย็น คงต้องรีบปรึกษาหมอแล้ว ขอบคุณที่ชี้ทางสว่าง นี่ไม่คิดเหมือนกันว่าเกิดจากยา
166,"ของผมจะเป็น ไอหนักทุกครั้งที่เป็นหวัด ไอเป็นเดือน ไอไม่ได้หลับไม่ได้นอน

สาเหตุเพราะอ้วนและหลอดลมตีบ อ.หมอ ที่บีแคร์ ตรวจเจอและให้ยาขยายหลอดลมมา หายไอนอนหลับได้ ไม่หลับๆตื่นๆจากการไอ

พอได้นอน อาการหวัดก็หายไม่มีเสมหะลงคอ ก็ไม่ไออีกต่อไป

ถ้าคุณอ้วน และไอแบบไม่ได้หลับไม่ได้นอน ทรมาน หายใจรวยริน เหมือนจะขาดใจ หาหมอบอกว่าขอยาขยายหลอดลม อาจจะช่วยท่านได้"
167,"3-4 เดือนน่าจะปกติ
ผมเคยไอต่อเนื่อง 5 ปีไม่หาย และจะไอหนักตอนตื่นนอนตอนเช้า เคยคิดจะเป็นวัณโรคไหมไปตรวจก็ไม่พบ สุดท้ายไอหนักมากระหว่างทำงาน เพราะที่ทำงานค่อนข้างเงียบ พอเราไอมันก็เหมือนเป็นจุดเด่นขึ้นมา เลยไปหาหมอที่โรงพยาบาลหมอบอกน้ำมูกไหลลงคอตลอดเวลา ให้ยามาพ่นจมูก แล้วบอกว่าถ้าพ่นไป 1 เดือนไม่หายให้กลับมา สรุปไม่หายเลยกลับไปอีกครั้ง คราวนี้ส่งไปศูนย์เฉพาะทาง มีการเทสลม ให้ลองเป่าอะไรสักอย่างมีลูกบอลอยู่ในที่เป่า บอกลมที่ออกมาเบามากเหมือนลมหายใจของผู้หญิง แล้วก็ไปทำเทสภูมิแพ้ เอาเข็มสะกิดแขน หยดอะไรสักอย่าง รอยสะกิดนูนนิดเดียว (นิดเดียวจริงๆ) หมอสรุปแพ้ไรฝุ่น + หืด+ มีไซนัสที่จมูก ให้ยามาพ่นจมูก + ยาสูดเข้าทางปาก หมอแนะนำให้ดูแลห้องและที่นอนให้สะอาด ก็ทำตามนั้น มีนัดพบหมอทุกเดือน รักษาไป 5-6 เดือน รู้สึกว่ามันก็ไอเหมือนเดิม และไปหาหมอครั้งนึงมีค่าใช้จ่ายครั้งละ 3000 ตอนนั้นรู้สึกแพงมากถึงที่ทำงานจะเบิกได้ทีละ 1200 ก็ยังรู้สึกแพง ก็เลยตัดสินใจไม่ไปหาหมออีกเพราะเห็นว่าไม่ได้ดีขึ้นก็ยังไอเหมือนเดิม
จากวันนั้นมาถึงวันนี้ ไม่มีการไออีกเลย แถมไม่สบายยากขึ้นมาก แต่ก่อนก็ป่วยบ่อยทุกปี ปัจจุบันก็ไม่รู้อาการไอหายไปได้ยังไงและหายไปตอนไหน ไม่ได้ออกกำลังกาย ใช้ชีวิตปกติ
แก้ไขข้อความเมื่อ 22 ธันวาคม 2561 เวลา 11:53 น."
168,ระดับน้ำตาลสูงแค่ไหนครับ...HbA1C เท่าไร
169,"อาการของคุณแม่คล้ายๆแบบเจ้าของกระทู้เลยค่า และแม่ก็กินยาชนิดเดียวกันด้วย .. เห็นว่าวันจันทร์จะไป รพ เพื่อขอเปลี่ยนยาเผื่ออาการจะดีขึ้นค่า
ปล . แม่ไปหาหมอหลายท่าน ไปตรวจปอดก็แล้วแต่ไม่พบโรคอะไร คิดว่าน่าจะเกิดจากสาเหตุที่เจ้าของกระทู้บอก .. ถ้าได้ผลหายขาดจากอาการไอ จะมารายงานผลให้นะคะ .. ขอบคุณสำหรับข้อมูลค่ะ"
170,โรคแบบซับซ้อนที่ จขกท เป็นนี่ คนที่บ้านก็เป็นเช่นกัน แต่ต่างกันตรงที่เค้าชอบมีเสลดติดคอ คายเสลดเองไม่เป็น ชอบเอามือไปล้วงคอจนสำลักบ่อย หรือทุบหน้าอก กินอะไรก็ชอบสำลัก แบบกินไปสักพักก็สำลัก แล้วไม่กล้ากินอะไรอีก อ่อนแรงแม้แต่เปิดฝาปลากระป๋องก็ไม่ได้ วิ่งเดินแป๊บก็เหนื่อย กินอะไรทำอะไรก็กลัว บางทีจู่ ๆ ก็ติดคอจนต้องเอายาพ่น ผ่านหมอหลายมีทั้งวิเคราะห์ไปทั้งกรดไหลย้อน (กินยาแบบ จขกท ทำ) หอบหืด ส่องกล้องก็แล้ว ตรวจเอกซเรย์ก็แล้ว ไม่พบผิดปกติ เสลดมันแข็ง หลัง ๆ ก็มีคราบเลือดบ้าง ตอนนี้ก็รอนัดหมดหูตาคอจมูกดู
171,"อยากแนะนำว่าถ้าไปหาหมอหลายที่ควรมีลิสต์ยาที่ใช้อยู่พกไว้ด้วย หรือพกยาไปด้วยถ้าสะดวกอ่ะค่ะ จะได้หลีกเลี่ยงและป้องกันการที่ยามันเกิด interaction กันได้ค่ะ บางทีกินยาตัวเดียวก็ต้องบอกหมอนะคะ อย่างเช่นคนที่มีความเสี่ยงเป็นโรคหลอดเลือดอุดตันแล้วต้องกินยาทุกวัน ก่อนผ่าตัดก็ต้องบอกหมอนะคะว่ากิน หมอจะได้ให้หยุด

ปล. แนะนำเพิ่มเติม ถ้าแพ้ยาอยากให้พกบัตรแพ้ยาไว้ด้วยนะคะ"
172,"เป็นโรคไอ 30,60 วันประจำครับ สาเหตุคือ ถ้าไม่เกิดจากกรดไหลย้อน ก็เกิดจากคออักเสบเพราะเปิดแอร์เย็นและนอนอ้าปาก

วิธีการรักษาคือ กินยาลดกรดไหลย้อน ไม่กินอาหารเยอะ ไม่กินน้ำเยอะในคราวเดียว และอย่าให้ท้องมีกรดเกินไป"
173,"เวลาไป รพ แล้วรับยาโรคเรื่อรังครั้งแรก เช่น โรคความดัน เบาหวาน ไขมัน เขาไม่แจ้งก่อนหรือคะว่ายาจะมีอาการข้างเคียงอย่างไรบ้าง

แล้วก็แนะนำว่าหากพบความผิดปกติ สิ่งที่ควรทำคือไปพบแพทย์ บอกรายละเอียด อาการ หมั่นสังเกตตัวเองว่าน่าจะเกิดจากอะไร หาย้อมูลทางอิเทอร์เน็ตได้ แต่ควรเป็บเว็บที่น่าเชื่อถือ เว็บทางการแพทย์  หรือไปก็ไปปรึกษาที่ร้านยาที่มีเภสัชกรช่วยดูอาการ และการหาข้อมูลจากพันทิป แชร์ตามเฟสบุ๊ค เว็บไม่น่าเชื่อถือ จากประสบการณ์ในโลกออนไลน์ เป็นอะไรที่ไม่ควรทำอย่างยิ่งค่ะ เพราะไม่ใช่ผู้รู้ผู้เชี่ยวชาญ อ่านคำแนะนำมั่วๆ หยุดยามั่วๆจะเป็นอันตรายกับตัวคนไข้เองค่ะ"
174,ขอบคุณค่ะที่เอามาแชร์ค่ะ คนแก่ที่บ้านก็ไอมาก หาหมอมาเยอะมาก เดี๋ยวไปเช็คยาดู
